name,default,description
USER_ID,None, ``xenon_cli login`` 后，用 ``xenon_cli token`` 查看 ``USER_ID`` 
USER_TOKEN,None, 如上步骤，查看 ``USER_TOEKN`` 
EMAIL,None,登录邮箱。你可以采取 ``USER_ID`` + ``USER_TOEKN`` 的方式登录，
PASSWORD,None,也可以采取 ``EMAIL`` + ``PASSWORD`` 的方式登录
DATASET_NAME,None,数据集名称，如 ``C204`` 
DATASET_DESCRIPTION,None,数据集描述，如 ``C204是来自xx数据库的数据集`` 
TASK_NAME,None,任务名称，如 ``C204-5Fold-mcc`` 
TASK_DESCRIPTION,None,任务描述，如 ``建模数据是C204，验证方法是5折交叉，评价指标是mcc`` 
MODEL_TYPE,clf,分类问题: ``clf`` ，回归问题： ``reg`` 
IGNORE_COLUMNS,"['SMILES', 'Unnamed: 0']",一个列表，填写你想忽略的列
USE_BOHB,auto,"【仅用于xenon_opt框架】默认为'auto'，即自动判断：如果样本数>10000，启用BOHB，否则为SMAC

 ``True`` 为使用BOHB， ``False`` 为不适用BOHB而使用SMAC"
IMBALANCE_THRESHOLD,20,当多数类样本数 / 少数类样本数 > 这个阈值时， 添加【少数类样本加权策略】候选集
USE_VAR_FEATURE_SELECTOR,True,是否使用基于方差的特征筛选器
SCALER,"['none', 'minmax', 'standardize']",尺度变换器 候选集
FEATURE_SELECTOR,"['none', 'rf', 'gbdt', 'l1_linear']",特征筛选器 候选集
DECOMPOSER,['none'],分解器 候选集。PCA是一种线性变换的方法，可提取特征矩阵的主成分，用于降维。KernelPCA 在主成分的基础上做和变换，用于增维。
DISCRETIZER,['none'],分箱器 候选集。分箱是一种对连续变量离散化的操作，一般后接线性模型，如 logistic_regression 。
CLASSIFIER,"['random_forest', 'lightgbm', 'logistic_regression', 'gbdt_lr']",分类器 候选集
REGRESSOR,"['random_forest', 'elasticnet', 'lightgbm', 'bayesian_ridge']",回归器 候选集
TRAIN_TARGET_COLUMN_NAME,active,训练集的列名，如回归任务的 ``pIC50`` ， 分类任务的 ``active`` 
ID_COLUMN_NAME,NAME,主键列， 如 ``NAME`` 。仅在用户自定义特征文件时使用，QSAR流程不用管这个参数。
METRIC,None,模型评价指标，若为空，分类为 ``mcc`` ，回归为 ``r2`` 
KFOLD,5,"搜索时使用的交叉验证的折数， ``2~10`` 为交叉验证，

``0.1~0.99`` 为 ``Holdout`` ，如填 ``0.2`` 表示用 `20%` 的数据做验证集， ``1`` 为留1验证 "
SPECIFIC_TASK_TOKEN,None,不想让相同的任务关联到一个 ``task_id`` 时，设置这个参数
OPT_FRAMEWORK,xenon_opt,优化框架，可选【dsmac】或【xenon_opt】。在xenonv2.1的更新后，可使用xenon_opt
SEARCH_THREAD_NUM,3,搜索时启动的线程数（如果是dsmac优化框架，为进程）。届时，将有 ``SEARCH_THREAD_NUM`` 个进程同时执行 训练->预测 的验证过程
PER_RUN_TIME_LIMIT,1800,限制每次尝试(trial)的运行时间，单位为秒(second)，默认为1800秒，即30分钟。
TOTAL_TIME_LIMIT,18000,【仅用于xenon_opt框架】限制总的运行时间，单位为秒(second)，默认为18000秒，即5小时。
PER_RUN_MEMORY_LIMIT,None,"限制每次尝试(trial)的内存，单位为兆(M)，默认为None，

会根据目标计算机计算一个恰能用完所有内存的值。"
N_JOBS_IN_ALGORITHM,None,单个算法的进程数，如果为空，程序会自动帮你计算一个能利用该计算机所有资源的值
RANDOM_RUNS,40,冷启动随机搜索次数。，随机搜索是贝叶斯搜索的启动过程，建议设置为20-60
N_ITERATIONS,500,【仅用于xenon_opt框架】总的迭代次数
OPT_EARLY_STOP_ROUNDS,64,"【仅用于xenon_opt框架】优化器早停轮数。

建议根据你想搜索次数的多少进行设置：【SMALL:32】【MIDDLE:64】【LARGE:128】 "
BAYES_RUNS,60,【仅用于dsmac框架】SMAC(一种贝叶斯搜索算法)搜索次数 。
RANDOM_STATE,None,"搜索时使用的random_state。对样本的随机采样的随机种子就是 ``RANDOM_STATE`` ，

为空会随机产生一个随机种子。"
FEATURE_NAME_LIST,None,非空时为指定使用某几种特征，如 ``['SubFP']`` 
ENSEMBLE_SIZE,3,做 ``stacking`` 集成学习集成的模型数，``<=1`` 表示不做集成学习，加载表现最好的模型。
DISPLAY_SIZE,50,默认只展示最好的 ``50`` 次试验
EXTERNAL_DELIVERY,False,是否生成对外交付模型
EXTERNAL_DELIVERY,False,是否产生对外交付模型，该模型只依赖部分xenon代码，可以交付给外部用户
